paper_id,cluster_id,cluster_label,umap_x,umap_y
6459,0,Shared Medium Coordination,49.7151,82.7583
6498,0,Shared Medium Coordination,45.3183,77.9750
6539,0,Shared Medium Coordination,58.9078,86.8773
6555,0,Shared Medium Coordination,54.2675,84.1412
6577,0,Shared Medium Coordination,53.5292,72.3020
6593,0,Shared Medium Coordination,50.7434,75.0007
6631,0,Shared Medium Coordination,44.5373,77.1043
6637,0,Shared Medium Coordination,54.3793,74.0805
6669,0,Shared Medium Coordination,47.5429,76.8226
6690,0,Shared Medium Coordination,48.9322,73.1162
6699,0,Shared Medium Coordination,50.2536,83.2595
6770,0,Shared Medium Coordination,54.3647,72.8824
6779,0,Shared Medium Coordination,53.7249,74.7413
6788,0,Shared Medium Coordination,52.7702,80.0149
6805,0,Shared Medium Coordination,58.3631,72.8658
6817,0,Shared Medium Coordination,54.0886,83.6975
6904,0,Shared Medium Coordination,53.9853,82.9144
6924,0,Shared Medium Coordination,51.6340,76.2169
6930,0,Shared Medium Coordination,44.8779,76.9671
6940,0,Shared Medium Coordination,54.3148,82.6617
7005,0,Shared Medium Coordination,58.4515,84.3099
7006,0,Shared Medium Coordination,47.8974,76.5823
7011,0,Shared Medium Coordination,58.3456,86.1506
7020,0,Shared Medium Coordination,50.8829,74.5443
7101,0,Shared Medium Coordination,55.8730,80.5052
7119,0,Shared Medium Coordination,52.5416,79.9094
7142,0,Shared Medium Coordination,54.1104,80.5639
7148,0,Shared Medium Coordination,54.4723,82.0170
7167,0,Shared Medium Coordination,60.1625,72.2384
7168,0,Shared Medium Coordination,50.9863,78.6139
7215,0,Shared Medium Coordination,48.5684,75.8957
7222,0,Shared Medium Coordination,58.3842,89.2948
7261,0,Shared Medium Coordination,59.5649,87.3953
7310,0,Shared Medium Coordination,52.2635,77.0470
7327,0,Shared Medium Coordination,47.0103,78.4925
7334,0,Shared Medium Coordination,49.7444,78.8913
7340,0,Shared Medium Coordination,49.4125,82.4202
7341,0,Shared Medium Coordination,47.4650,79.2878
7365,0,Shared Medium Coordination,56.3519,68.0397
7411,0,Shared Medium Coordination,53.5861,73.9845
7417,0,Shared Medium Coordination,44.8479,75.4356
7428,0,Shared Medium Coordination,47.0159,83.0547
7443,0,Shared Medium Coordination,49.5292,73.9329
7444,0,Shared Medium Coordination,51.6050,77.9004
7448,0,Shared Medium Coordination,64.3648,68.8281
7457,0,Shared Medium Coordination,52.1096,82.3586
7466,0,Shared Medium Coordination,60.2222,88.3616
7478,0,Shared Medium Coordination,51.7524,82.2899
7490,0,Shared Medium Coordination,49.9433,79.8816
7530,0,Shared Medium Coordination,59.0683,85.9125
7571,0,Shared Medium Coordination,54.8003,78.2003
7578,0,Shared Medium Coordination,48.0395,85.3837
7586,0,Shared Medium Coordination,54.3851,79.4689
7607,0,Shared Medium Coordination,44.4986,81.8484
7611,0,Shared Medium Coordination,46.4330,80.9455
7639,0,Shared Medium Coordination,57.6738,87.9316
7655,0,Shared Medium Coordination,52.5319,79.1257
7679,0,Shared Medium Coordination,34.9627,56.3551
7680,0,Shared Medium Coordination,50.6328,83.3388
7703,0,Shared Medium Coordination,50.8920,78.7202
7739,0,Shared Medium Coordination,51.9717,76.2260
7823,0,Shared Medium Coordination,50.1810,74.1306
7858,0,Shared Medium Coordination,58.5034,66.0852
7863,0,Shared Medium Coordination,61.7072,74.9861
7865,0,Shared Medium Coordination,54.4935,74.2970
7875,0,Shared Medium Coordination,57.3732,87.9701
7882,0,Shared Medium Coordination,53.7051,74.5700
7886,0,Shared Medium Coordination,49.5089,76.0431
7892,0,Shared Medium Coordination,48.5153,77.2326
7949,0,Shared Medium Coordination,53.6958,75.2221
7954,0,Shared Medium Coordination,55.5484,83.6819
7989,0,Shared Medium Coordination,50.6662,83.2190
7991,0,Shared Medium Coordination,70.1751,76.1482
8006,0,Shared Medium Coordination,44.2358,75.9290
8011,0,Shared Medium Coordination,42.7942,60.4405
8021,0,Shared Medium Coordination,52.0851,69.9002
8022,0,Shared Medium Coordination,51.4925,84.9870
8080,0,Shared Medium Coordination,82.2385,54.9048
8081,0,Shared Medium Coordination,39.1227,55.8609
8112,0,Shared Medium Coordination,53.2899,71.7136
8113,0,Shared Medium Coordination,50.2267,49.7878
8116,0,Shared Medium Coordination,55.4543,77.9813
8121,0,Shared Medium Coordination,56.6706,70.2979
8135,0,Shared Medium Coordination,51.1790,78.9100
8143,0,Shared Medium Coordination,49.8783,84.4394
8171,0,Shared Medium Coordination,48.3374,73.5184
8226,0,Shared Medium Coordination,54.3487,83.4593
8289,0,Shared Medium Coordination,54.1450,77.9888
8307,0,Shared Medium Coordination,55.0650,77.9873
8331,0,Shared Medium Coordination,45.9894,75.9441
8368,0,Shared Medium Coordination,52.9564,71.3361
8420,0,Shared Medium Coordination,48.2965,73.2869
8445,0,Shared Medium Coordination,48.8769,78.1574
8478,0,Shared Medium Coordination,60.4513,87.8171
8599,0,Shared Medium Coordination,49.3449,69.6055
8602,0,Shared Medium Coordination,58.6502,74.3468
8606,0,Shared Medium Coordination,49.5510,73.8001
8613,0,Shared Medium Coordination,55.2490,79.1052
8619,0,Shared Medium Coordination,55.8524,75.4054
8631,0,Shared Medium Coordination,54.3185,83.3200
8657,0,Shared Medium Coordination,47.8332,73.7671
8658,0,Shared Medium Coordination,51.9622,73.1748
8678,0,Shared Medium Coordination,51.7334,72.4884
8687,0,Shared Medium Coordination,39.2601,42.4702
8690,0,Shared Medium Coordination,45.7806,81.9398
8697,0,Shared Medium Coordination,44.4375,74.5774
8704,0,Shared Medium Coordination,55.9537,72.0587
8711,0,Shared Medium Coordination,63.7889,68.9755
8782,0,Shared Medium Coordination,49.7543,81.7961
8822,0,Shared Medium Coordination,47.7900,72.3235
8831,0,Shared Medium Coordination,53.5442,74.9391
8878,0,Shared Medium Coordination,50.2302,81.3252
8913,0,Shared Medium Coordination,53.6794,75.4722
